order_id,customer_id,order_date,product_id,quantity,price
ORD001,CUST001,2024-01-15,PROD001,2,100.00
ORD001,CUST001,2024-01-15,PROD002,1,50.00
ORD002,CUST001,2024-02-10,PROD003,3,75.00
ORD003,CUST001,2024-03-05,PROD001,1,100.00
ORD004,CUST002,2024-01-20,PROD002,5,50.00
ORD004,CUST002,2024-01-20,PROD004,2,200.00
ORD005,CUST002,2024-02-15,PROD001,10,100.00
ORD006,CUST002,2024-03-10,PROD003,8,75.00
ORD007,CUST002,2024-04-01,PROD005,15,300.00
ORD008,CUST003,2024-02-01,PROD001,1,100.00
ORD009,CUST003,2024-02-15,PROD002,2,50.00
ORD010,CUST003,2024-03-01,PROD006,1,25.00
ORD011,CUST004,2024-01-10,PROD007,20,500.00
ORD012,CUST004,2024-02-05,PROD008,15,400.00
ORD013,CUST004,2024-03-15,PROD009,10,800.00
ORD014,CUST004,2024-04-10,PROD010,5,1000.00
ORD015,CUST005,2024-01-25,PROD001,3,100.00
ORD016,CUST005,2024-03-20,PROD002,2,50.00
