order_id,customer_id,order_date,product_id,quantity,price
ORD001,CUST001,2024-01-15,PROD001,2,25.50
ORD001,CUST001,2024-01-15,PROD002,1,15.00
ORD002,CUST001,2024-02-20,PROD001,1,25.50
ORD003,CUST001,2024-03-10,PROD003,3,35.00
ORD004,CUST002,2024-01-10,PROD001,5,25.50
ORD004,CUST002,2024-01-10,PROD004,2,50.00
ORD005,CUST002,2024-02-15,PROD002,10,15.00
ORD006,CUST002,2024-03-20,PROD005,1,5000.00
ORD007,CUST003,2024-01-05,PROD006,1,12000.00
ORD008,CUST003,2024-02-10,PROD001,20,25.50
ORD009,CUST003,2024-03-15,PROD007,2,1500.00
ORD010,CUST004,2024-01-20,PROD002,3,15.00
ORD011,CUST004,2024-02-25,PROD003,2,35.00
ORD012,CUST005,2024-01-01,PROD001,1,25.50
ORD013,CUST005,2024-01-15,PROD008,1,8000.00
ORD014,CUST005,2024-02-01,PROD009,1,3000.00
ORD015,CUST005,2024-03-01,PROD010,2,750.00
