order_id,customer_id,order_date,product_id,quantity,price
ORD001,CUST001,2024-01-15,PROD001,2,100.00
ORD001,CUST001,2024-01-15,PROD002,1,250.00
ORD002,CUST001,2024-02-10,PROD003,3,75.00
ORD003,CUST001,2024-03-05,PROD001,1,100.00
ORD004,CUST001,2024-03-20,PROD004,2,500.00
ORD005,CUST002,2024-01-20,PROD001,5,100.00
ORD006,CUST002,2024-02-15,PROD002,2,250.00
ORD007,CUST002,2024-03-10,PROD005,1,2000.00
ORD008,CUST003,2024-01-25,PROD003,1,75.00
ORD009,CUST003,2024-02-20,PROD004,1,500.00
ORD010,CUST003,2024-03-15,PROD006,10,1500.00
